Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin Sharma,"Sharma, Robin",,"=""0062515675""","=""9780062515674""",0,HarperOne,Paperback,208,1999,1996,,2011/11/03,did-not-finish,did-not-finish (#2),did-not-finish,,,,0,0
634583,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Arun Tiwari,"=""8173711461""","=""9788173711466""",0,Universities Press,Paperback,180,2011,1999,,2011/11/03,did-not-finish,did-not-finish (#1),did-not-finish,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2012/03/16,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
37380,The Heart Is a Lonely Hunter,Carson McCullers,"McCullers, Carson",,"=""0618084746""","=""9780618084746""",5.0,Mariner Books,Paperback,359,1961,1940,2026/02/03,2026/02/03,,,read,,,,1,0
39284186,No Friend But the Mountains: Writing from Manus Prison,Behrouz Boochani,"Boochani, Behrouz","Omid Tofighian, Alenka Ropret","=""176055538X""","=""9781760555382""",5.0,Pan Macmillan Australia,Paperback,374,2018,2018,2025/12/25,2019/02/28,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5.0,Ballantine Books,Hardcover,476,2021,2021,2025/12/20,2025/12/20,,,read,,,,1,0
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",0,Scribner,Hardcover,368,2025,2025,,2025/12/05,,,read,,,,1,0
54983,Oranges,John McPhee,"McPhee, John",,"=""0141182032""","=""9780141182032""",5.0,Penguin,Paperback,160,2000,1967,,2025/11/26,,,read,,,,1,0
35680980,गोदान,Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",0,Sai ePublications,Kindle Edition,505,2017,1936,,2025/11/05,currently-reading,currently-reading (#8),currently-reading,,,,1,0
24796131,101 Artists to Listen to Before You Die,Ricardo Cavolo,"Cavolo, Ricardo",,"=""1910620009""","=""9781910620007""",5.0,Nobrow,Hardcover,232,2015,2015,,2025/11/02,"coffee-table, to-read","coffee-table (#1), to-read (#40)",to-read,,,,1,0
38508,The Firm,John Grisham,"Grisham, John",,"=""""","=""""",5.0,Arrow Books,Paperback,496,1998,1991,,2013/08/05,,,read,,,,1,0
60770722,Kitchen Confidential: Insider's Edition,Anthony Bourdain,"Bourdain, Anthony",,"=""1526650959""","=""9781526650955""",0,,Paperback,0,2021,2000,,2023/07/17,currently-reading,currently-reading (#7),currently-reading,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Ilse Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,Beacon Press,Paperback,165,2006,1946,,2017/01/13,,,read,,,,1,0
22034,"The Godfather (The Godfather, #1)",Mario Puzo,"Puzo, Mario","Peter Bart, Robert Thompson","=""""","=""""",5.0,NAL,Paperback,428,2002,1969,2023/10/01,2023/09/28,,,read,,,,1,0
35407549,Himalaya Bound: One Family's Quest to Save their Animals—And an Ancient Way of Life,Michael Benanav,"Benanav, Michael",,"=""1681776227""","=""9781681776224""",0,Pegasus Books,Hardcover,224,2018,2015,,2023/09/28,to-read,to-read (#39),to-read,,,,0,0
36374034,Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert  Wright,"Wright, Robert",,"=""1439195463""","=""9781439195468""",0,Simon & Schuster,Paperback,321,2018,2017,,2023/07/17,,,read,,,,1,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,Twelve,Kindle Edition,273,2012,2012,,2023/07/17,,,read,,,,1,0
30212070,The Joy of Work,S.A. Sapre,"Sapre, S.A.",,"=""8123720211""","=""9788123720210""",0,"National Book Trust, India",Paperback,90,1996,,,2022/07/08,,,read,,,,1,0
2329073,"Money, Sex, War, Karma: Notes for a Buddhist Revolution",David R. Loy,"Loy, David R.",,"=""0861715586""","=""9780861715589""",5.0,Wisdom Publications,Paperback,176,2008,2008,,2021/04/27,,,read,,,,1,0
195653,A Still Forest Pool: The Insight Meditation of Achaan Chah (Quest Book),Ajahn Chah,"Chah, Ajahn","Jack Kornfield, Paul Breiter","=""0835605973""","=""9780835605977""",0,Quest Books,Paperback,216,2004,1985,,2020/09/29,,,read,,,,1,0
10138607,Habibi,Craig Thompson,"Thompson, Craig",,"=""0375424148""","=""9780375424144""",0,Pantheon,Hardcover,672,2011,2011,,2020/09/19,,,read,,,,1,0
18222843,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,"Miodownik, Mark",,"=""0544236041""","=""9780544236042""",0,Houghton Mifflin Harcourt,Hardcover,252,2014,2013,,2020/08/14,,,read,,,,1,0
39018271,Batman: The Court of Owls Saga,Scott Snyder,"Snyder, Scott",Greg Capullo,"=""1401284337""","=""9781401284336""",5.0,DC Comics,Paperback,320,2018,2011,,2020/07/18,,,read,,,,1,0
861023,A Contract with God and Other Tenement Stories (The Contract With God Trilogy #1),Will Eisner,"Eisner, Will",,"=""0878160183""","=""9780878160181""",5.0,Kitchen Sink Press,Paperback,196,1985,1978,,2020/06/21,,,read,,,,1,0
6375845,Batman: Hush,Jeph Loeb,"Loeb, Jeph","Jim Lee, Scott  Williams","=""1401223176""","=""9781401223175""",5.0,DC Comics,Paperback,320,2009,2002,,2020/06/21,,,read,,,,1,0
20926077,"The Terrible and Wonderful Reasons Why I Run Long Distances (The Oatmeal, #5)",Matthew Inman,"Inman, Matthew",,"=""144946727X""","=""9781449467272""",0,Andrews McMeel Publishing,Paperback,148,2014,2014,,2019/05/13,,,read,,,,1,0
325472,The Complete Chronicles of Narnia (The Chronicles of Narnia),C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""""","=""""",0,HarperCollins,Hardcover,524,2000,1956,,2019/05/13,currently-reading,currently-reading (#6),currently-reading,,,,2,0
2247644,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",,"=""817223578X""","=""9788172235789""",0,Harper Element,Paperback,127,2005,1970,,2019/05/13,,,read,,,,1,0
29978522,Dare to Do: Taking on the planet by bike and boat,Sarah Outen,"Outen, Sarah",,"=""1857886410""","=""9781857886412""",0,Nicholas Brealey Publishing,Hardcover,288,2016,2016,,2019/05/13,to-read,to-read (#38),to-read,,,,0,0
20300524,The Sick Rose: Disease and the Art of Medical Illustration,Richard Barnett,"Barnett, Richard",,"=""1938922409""","=""9781938922404""",0,D.A.P.,Hardcover,256,2014,2014,,2019/05/13,"to-read, nf-compendium","to-read (#37), nf-compendium (#1)",to-read,,,,0,0
41553921,The Shooting Star,Shivya Nath,"Nath, Shivya",,"=""0143443194""","=""9780143443193""",0,PENGUIN INDIA,Paperback,216,2018,2018,,2019/05/13,to-read,to-read (#36),to-read,,,,0,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",0,Bantam Classics,Mass Market Paperback,201,1972,1915,,2019/05/07,,,read,,,,1,0
22593419,Ayoade on Ayoade: A Cinematic Odyssey,Richard Ayoade,"Ayoade, Richard",,"=""0571316522""","=""9780571316526""",0,Faber & Faber,Paperback,303,2014,2014,,2019/04/25,,,read,,,,1,0
45020269,How To Bullsh*t Your Way To Number 1: An Unorthodox Guide To 21st Century Success,Oobah Butler,"Butler, Oobah",,"=""1513646818""","=""9781513646817""",5.0,Where Publications,Kindle Edition,89,2019,,2019/04/24,2019/04/23,,,read,,,,1,0
16982,Marvels,Kurt Busiek,"Busiek, Kurt",Alex Ross,"=""0785100490""","=""9780785100492""",0,Marvel Comics,Paperback,216,2003,1993,,2019/02/28,,,read,,,,1,0
3153910,The Art of Racing in the Rain,Garth Stein,"Stein, Garth",,"=""1554681723""","=""9781554681723""",4.0,Harper Collins,Hardcover,336,2008,2008,2019/02/28,2012/05/04,,,read,,,,1,0
26135825,Fun Home: A Family Tragicomic,Alison Bechdel,"Bechdel, Alison",,"=""0618871713""","=""9780618871711""",0,Mariner Books,Paperback,232,2007,2006,,2019/02/28,,,read,,,,1,0
4070095,Asterios Polyp,David Mazzucchelli,"Mazzucchelli, David",,"=""0307377326""","=""9780307377326""",5.0,Pantheon,Hardcover,324,2009,2009,2019/02/22,2019/02/22,,,read,,,,1,0
13602241,The Underwater Welder,Jeff Lemire,"Lemire, Jeff",Steve Wands,"=""1603090746""","=""9781603090742""",5.0,Top Shelf,Paperback,224,2012,2012,,2019/02/17,,,read,,,,1,0
120756,Sshhh!,Jason,"Jason, Jason",,"=""1560974974""","=""9781560974970""",0,Fantagraphics Books,Paperback,120,2008,2000,,2019/02/12,,,read,,,,1,0
10889279,Batman: The Black Mirror,Scott Snyder,"Snyder, Scott","Jock, Francesco Francavilla, Jared K. Fletcher, Sal Cipriano, David   Baron","=""140123206X""","=""9781401232061""",5.0,DC Comics,Hardcover,288,2011,2011,,2019/01/22,,,read,,,,1,0
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""""","=""""",5.0,HarperPerennial,Paperback,222,1993,1993,,2019/01/21,,,read,,,,1,0
